class,type,802.11u Mapping
building,apartments,RESIDENTIAL - PRIVATE RESIDENCE
building,block,RESIDENTIAL - PRIVATE RESIDENCE
building,dormitory,RESIDENTIAL - DORMITORY
building,flats,RESIDENTIAL - PRIVATE RESIDENCE
building,house,RESIDENTIAL - PRIVATE RESIDENCE
building,home,RESIDENTIAL - PRIVATE RESIDENCE
building,residential,RESIDENTIAL - PRIVATE RESIDENCE
building,terrace,RESIDENTIAL - PRIVATE RESIDENCE
building,yes,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
building,detached,RESIDENTIAL - PRIVATE RESIDENCE
building,construction,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
building,semidetached_house,RESIDENTIAL - PRIVATE RESIDENCE
building,static_caravan,RESIDENTIAL - PRIVATE RESIDENCE
place,locality,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
place,apartments,RESIDENTIAL - PRIVATE RESIDENCE
place,block,RESIDENTIAL - PRIVATE RESIDENCE
place,dormitory,RESIDENTIAL - DORMITORY
place,flats,RESIDENTIAL - PRIVATE RESIDENCE
place,house,RESIDENTIAL - PRIVATE RESIDENCE
place,residential,RESIDENTIAL - PRIVATE RESIDENCE
place,terrace,RESIDENTIAL - PRIVATE RESIDENCE
place,yes,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
highway,residential,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
highway,cycleway,OUTDOOR - TRAFFIC CONTROL
highway,tertiary,OUTDOOR - TRAFFIC CONTROL
highway,footway,OUTDOOR - TRAFFIC CONTROL
highway,living_street,OUTDOOR - TRAFFIC CONTROL
highway,construction,OUTDOOR - TRAFFIC CONTROL
highway,bridleway,OUTDOOR - TRAFFIC CONTROL
highway,elevator,OUTDOOR - TRAFFIC CONTROL
highway,raceway,ASSEMBLY - STADIUM
amenity,dormitory,RESIDENTIAL - DORMITORY
amenity,trailer_park,RESIDENTIAL - PRIVATE RESIDENCE
amenity,events_venue,ASSEMBLY - CONVENTION CENTER
landuse,residential,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
landuse,farmyard,RESIDENTIAL - UNSPECIFIED RESIDENTIAL
leisure,garden,OUTDOOR - CITY PARK
leisure,recreation_ground,OUTDOOR - CITY PARK
leisure,fitness_station,OUTDOOR - CITY PARK
leisure,slipway,OUTDOOR - REST AREA
historic,heritage,ASSEMBLY - MUSEUM
club,religion,ASSEMBLY - PLACE OF WORSHIP
aerialway,yes,VEHICULAR - UNSPECIFIED VEHICULAR
military,yes,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
military,base,INSTITUTIONAL - UNSPECIFIED INSTITUTIONAL
military,barracks,RESIDENTIAL - DORMITORY
military,training_area,EDUCATIONAL - UNSPECIFIED EDUCATIONAL
man_made,tower,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,flagpole,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,pier,OUTDOOR - REST AREA
man_made,manhole,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,mast,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,works,FACTORY-INDUSTRIAL - FACTORY
man_made,tunnel,OUTDOOR - TRAFFIC CONTROL
man_made,water_tower,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,wastewater_plant,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,storage_tank,STORAGE - UNSPECIFIED STORAGE
man_made,silo,STORAGE - UNSPECIFIED STORAGE
man_made,petroleum_well,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,flare,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,surveillance,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,reservoir_covered,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,chimney,FACTORY-INDUSTRIAL - FACTORY
man_made,lighthouse,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
man_made,water_works,UTILITY-MISC - UNSPECIFIED UTILITY AND MISCELLANEOUS
shop,money_lender,BUSINESS - PROFESSIONAL OFFICE
shop,interior_decoration,BUSINESS - PROFESSIONAL OFFICE
shop,pet,MERCANTILE - RETAIL STORE
shop,rice,MERCANTILE - RETAIL STORE
shop,convenience,MERCANTILE - RETAIL STORE
shop,tattoo,BUSINESS - PROFESSIONAL OFFICE
shop,shoes,MERCANTILE - RETAIL STORE
shop,funeral_directors,BUSINESS - PROFESSIONAL OFFICE
shop,mall,MERCANTILE - SHOPPING MALL
shop,clothes,MERCANTILE - RETAIL STORE
shop,locksmith,BUSINESS - PROFESSIONAL OFFICE
shop,tobacco,MERCANTILE - RETAIL STORE
shop,supermarket,MERCANTILE - GROCERY MARKET
shop,hunting,MERCANTILE - RETAIL STORE
shop,car_repair,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,jewelry,MERCANTILE - RETAIL STORE
shop,music,MERCANTILE - RETAIL STORE
shop,mobile_phone,MERCANTILE - RETAIL STORE
shop,houseware,MERCANTILE - RETAIL STORE
shop,car,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,car_parts,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,department_store,MERCANTILE - RETAIL STORE
shop,deli,ASSEMBLY - RESTAURANT
shop,dry_cleaning,BUSINESS - PROFESSIONAL OFFICE
shop,laundry,BUSINESS - PROFESSIONAL OFFICE
shop,fortune_teller,BUSINESS - PROFESSIONAL OFFICE
shop,chemist,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,hearing_aids,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,yes,MERCANTILE - UNSPECIFIED MERCANTILE
shop,furniture,MERCANTILE - RETAIL STORE
shop,newsagent,MERCANTILE - RETAIL STORE
shop,hairdresser,BUSINESS - PROFESSIONAL OFFICE
shop,party,MERCANTILE - RETAIL STORE
shop,car_rental,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,beauty,BUSINESS - PROFESSIONAL OFFICE
shop,cannabis,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,country_store,MERCANTILE - RETAIL STORE
shop,rental,MERCANTILE - RETAIL STORE
shop,dental_supplies,BUSINESS - DOCTOR OR DENTIST OFFICE
shop,motorcycle,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,bicycle,MERCANTILE - RETAIL STORE
shop,lighting,MERCANTILE - RETAIL STORE
shop,alcohol,MERCANTILE - RETAIL STORE
shop,variety_store,MERCANTILE - RETAIL STORE
shop,garden_centre,MERCANTILE - RETAIL STORE
shop,trade,MERCANTILE - RETAIL STORE
shop,doityourself,MERCANTILE - RETAIL STORE
shop,radiotechnics,MERCANTILE - RETAIL STORE
shop,art,MERCANTILE - RETAIL STORE
shop,motorcycle_repair,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,stationery,MERCANTILE - RETAIL STORE
shop,tyres,MERCANTILE - AUTOMOTIVE SERVICE STATION
shop,boutique,MERCANTILE - RETAIL STORE
